idx,u,i,f,ts
448,44,129,1,729475
449,160,72,1,731538
450,129,8,1,732387
451,36,147,1,732681
452,36,109,1,732750
453,36,105,1,732837
454,36,129,1,732868
455,9,8,1,732903
456,34,101,1,736659
457,161,162,1,737773
458,163,72,1,739165
459,32,164,1,740144
460,58,8,1,740891
461,32,58,1,741062
462,41,76,1,741403
463,41,120,1,741475
464,41,132,1,741511
465,41,165,1,741549
466,41,166,1,741584
467,41,157,1,741603
468,41,167,1,741649
469,41,168,1,741671
470,41,169,1,741687
471,41,134,1,741717
472,56,68,1,741807
473,41,56,1,741832
474,56,154,1,741860
475,56,170,1,741935
476,56,171,1,741953
477,56,172,1,741965
478,103,101,1,742299
479,51,157,1,742404
480,32,130,1,742547
481,8,58,1,743181
482,8,164,1,743274
483,103,63,1,744021
484,103,173,1,744190
485,67,154,1,744580
486,32,26,1,745080
487,96,163,1,746400
488,9,58,1,746875
489,41,56,1,746919
490,9,20,1,747141
491,9,165,1,747182
492,9,61,1,747343
493,103,109,1,748171
494,32,155,1,748292
495,32,109,1,748356
496,32,174,1,748433
497,175,50,1,748460
498,103,85,1,748941
499,124,109,1,749032
500,164,8,1,749211
501,103,63,1,749675
502,38,128,1,749926
503,103,63,1,749949
504,103,63,1,750008
505,19,109,1,750056
506,103,63,1,750116
507,103,63,1,750192
508,161,164,1,750205
509,161,164,1,750207
510,38,109,1,750255
511,41,63,1,750287
512,103,63,1,750375
513,176,63,1,750395
514,41,63,1,750397
515,176,63,1,750489
516,41,63,1,750512
517,161,63,1,750544
518,103,63,1,750550
519,41,63,1,750555
520,176,63,1,750601
521,41,63,1,750604
522,161,63,1,750614
523,103,63,1,750629
524,32,164,1,750631
525,176,63,1,750652
526,41,63,1,750684
527,176,63,1,750742
528,41,63,1,750749
529,161,63,1,750758
530,103,63,1,750784
531,41,177,1,750809
532,41,177,1,750813
533,164,178,1,750835
534,164,177,1,750852
535,32,175,1,750864
536,32,177,1,750880
537,176,63,1,750905
538,164,179,1,750907
539,41,63,1,750945
540,32,179,1,750959
541,41,63,1,750978
542,41,63,1,751075
543,41,63,1,751098
544,41,63,1,751182
545,161,63,1,751209
546,96,164,1,751323
547,41,63,1,751437
548,41,177,1,751494
549,41,177,1,751534
550,41,63,1,751565
551,41,177,1,751590
552,41,63,1,751653
553,161,63,1,751664
554,32,177,1,751668
555,41,177,1,751678
556,32,177,1,751759
557,41,177,1,751763
558,41,63,1,751795
559,41,180,1,751810
560,32,177,1,751893
561,41,63,1,751910
562,161,63,1,751925
563,41,177,1,751929
564,41,180,1,751951
565,177,32,1,752072
566,41,63,1,752107
567,41,177,1,752124
568,180,177,1,752133
569,180,177,1,752140
570,180,181,1,752209
571,41,177,1,752213
572,180,182,1,752263
573,41,180,1,752346
574,41,90,1,752366
575,41,63,1,752396
576,32,177,1,752422
577,41,180,1,752529
578,41,63,1,752552
579,41,177,1,752565
580,177,180,1,752597
581,177,180,1,752661
582,177,32,1,752709
583,41,180,1,752739
584,41,177,1,752794
585,41,180,1,752799
586,32,177,1,752820
587,41,63,1,752826
588,183,184,1,752920
589,41,63,1,753109
590,177,32,1,753153
591,32,177,1,753213
592,41,177,1,753260
593,177,32,1,753283
594,175,32,1,753322
595,32,177,1,753338
596,32,175,1,753368
597,41,168,1,753439
598,175,32,1,753565
599,41,168,1,753676
600,41,177,1,753684
601,177,32,1,753696
602,63,174,1,753718
603,174,63,1,753736
604,63,174,1,753746
605,174,63,1,753775
606,41,168,1,753786
607,41,177,1,753810
608,32,175,1,753829
609,63,174,1,753841
610,174,63,1,753872
611,41,168,1,753877
612,9,32,1,753899
613,41,177,1,753912
614,63,174,1,753915
615,32,177,1,753922
616,175,32,1,753956
617,32,175,1,754050
618,41,168,1,754084
619,41,177,1,754113
620,41,168,1,754123
621,41,168,1,754131
622,63,155,1,754176
623,174,63,1,754188
624,41,177,1,754207
625,177,32,1,754215
626,41,168,1,754222
627,175,32,1,754233
628,63,174,1,754247
629,174,63,1,754311
630,63,174,1,754332
631,41,168,1,754380
632,41,177,1,754402
633,41,177,1,754435
634,32,175,1,754456
635,41,177,1,754457
636,175,32,1,754649
637,175,32,1,754670
638,32,175,1,754749
639,41,177,1,754827
640,41,168,1,754840
641,174,63,1,754844
642,63,174,1,754903
643,41,168,1,754938
644,41,168,1,755039
645,41,177,1,755067
646,41,168,1,755092
647,41,177,1,755115
648,174,63,1,755142
649,63,174,1,755160
650,41,168,1,755452
651,41,177,1,755505
652,41,177,1,755787
653,41,177,1,755819
654,41,177,1,756165
655,9,32,1,756178
656,41,177,1,756180
657,41,185,1,756190
658,41,168,1,756204
659,185,147,1,756365
660,185,32,1,756532
661,41,185,1,756599
662,41,177,1,756616
663,32,185,1,756756
664,186,185,1,756765
665,140,185,1,756773
666,155,32,1,756774
667,32,155,1,756797
668,185,186,1,756830
669,155,63,1,756888
670,41,177,1,756997
671,103,177,1,757048
672,187,186,1,757192
673,185,97,1,757281
674,103,97,1,757316
675,187,186,1,757334
676,41,185,1,757424
677,41,185,1,757446
678,41,186,1,757487
679,41,185,1,757495
680,41,186,1,757568
681,185,63,1,757745
682,41,168,1,757780
683,187,186,1,757850
684,63,155,1,757922
685,63,185,1,757961
686,103,58,1,758057
687,103,63,1,758112
688,187,186,1,758171
689,103,188,1,758375
690,189,175,1,758383
691,189,175,1,758434
692,140,185,1,758531
693,187,186,1,758534
694,185,109,1,758552
695,140,185,1,758852
696,189,8,1,759395
697,102,97,1,759398
698,140,185,1,759541
699,41,86,1,759680
700,41,188,1,759963
701,101,100,1,760680
702,101,190,1,761299
703,191,175,1,761317
704,101,190,1,761320
705,101,190,1,761350
706,101,190,1,761419
707,101,190,1,761441
708,103,192,1,761492
709,101,190,1,761553
710,101,190,1,761594
711,101,190,1,761607
712,101,190,1,761658
713,101,190,1,761683
714,101,190,1,761694
715,101,190,1,761706
716,101,190,1,761712
717,193,149,1,761755
718,101,100,1,761765
719,193,190,1,761807
720,191,78,1,761842
721,101,190,1,761858
722,101,190,1,761866
723,190,109,1,761932
724,101,190,1,761953
725,193,190,1,761979
726,109,124,1,762269
727,103,109,1,762269
728,103,190,1,762354
729,103,109,1,762542
730,103,109,1,762631
731,41,192,1,763428
732,194,149,1,764568
733,194,195,1,765033
734,176,20,1,766798
735,176,61,1,766803
736,176,149,1,766819
737,176,120,1,766824
738,176,132,1,766829
739,176,86,1,766838
740,176,97,1,766862
741,176,72,1,766886
742,176,58,1,766890
743,176,8,1,766895
744,176,196,1,767098
745,176,197,1,767106
746,176,198,1,767110
747,176,199,1,767119
748,176,200,1,767123
749,176,190,1,767127
750,176,192,1,767132
751,176,201,1,767136
752,176,188,1,767140
753,176,202,1,767147
754,176,185,1,767152
755,176,203,1,767157
756,176,180,1,767170
757,176,181,1,767179
758,176,177,1,767184
759,176,184,1,767192
760,176,175,1,767199
761,176,166,1,767951
762,204,205,1,772752
763,204,104,1,772792
764,204,184,1,773075
765,189,144,1,773627
766,3,185,1,791623
767,3,32,1,792401
768,199,58,1,792526
769,63,185,1,792823
770,63,199,1,792984
771,63,184,1,793031
772,199,101,1,793314
773,194,199,1,794711
774,194,206,1,794805
775,194,207,1,794864
776,204,123,1,795066
777,121,191,1,795216
778,175,191,1,795243
779,204,129,1,795264
780,63,199,1,795313
781,101,184,1,795316
782,101,208,1,795419
783,63,46,1,795496
784,63,199,1,796557
785,101,88,1,797095
786,191,121,1,797798
787,191,175,1,797811
788,103,177,1,797900
789,199,20,1,798002
790,184,101,1,798061
791,103,132,1,798109
792,199,209,1,798360
793,101,184,1,798483
794,36,105,1,798845
795,103,210,1,798898
796,36,209,1,798990
797,184,101,1,799496
798,209,199,1,799621
799,199,209,1,799839
800,199,210,1,800002
801,101,184,1,800336
802,184,101,1,801732
803,176,101,1,803176
804,68,101,1,803579
805,32,198,1,804379
806,211,101,1,805797
807,212,209,1,805805
808,211,213,1,806041
809,211,93,1,806064
810,211,85,1,806111
811,189,199,1,806437
812,214,215,1,807308
813,103,109,1,807348
814,103,215,1,807391
815,103,82,1,807412
816,44,214,1,807432
817,103,215,1,807608
818,63,199,1,807610
819,63,199,1,807647
820,103,215,1,807757
821,103,215,1,807782
822,103,168,1,807867
823,214,109,1,807882
824,215,67,1,807942
825,103,215,1,807971
826,214,215,1,807978
827,41,215,1,807983
828,41,216,1,808004
829,103,127,1,808081
830,215,62,1,808246
831,214,109,1,808344
832,176,217,1,808456
833,176,216,1,808478
834,176,218,1,808637
835,103,109,1,808805
836,219,124,1,809088
837,19,109,1,809215
838,63,127,1,809623
839,88,101,1,809752
840,103,168,1,809934
841,103,56,1,810121
842,63,127,1,810232
843,103,56,1,810270
844,214,56,1,810272
845,214,56,1,810321
846,63,127,1,810473
847,51,215,1,810644
848,19,175,1,810921
849,19,109,1,810949
850,44,214,1,810988
851,215,51,1,811066
852,44,214,1,811250
853,19,215,1,811379
854,19,215,1,811421
855,103,175,1,811839
856,44,214,1,811859
857,19,215,1,812219
858,103,175,1,812255
859,214,175,1,812268
860,51,215,1,812367
861,19,215,1,812391
862,214,215,1,812446
863,215,51,1,812494
864,19,215,1,812599
865,96,95,1,812795
866,96,32,1,812882
867,19,215,1,812883
868,96,164,1,812909
869,103,215,1,812936
870,103,215,1,813103
871,19,215,1,813189
872,144,185,1,813358
873,103,168,1,813464
874,220,214,1,813465
875,220,32,1,813566
876,19,215,1,813578
877,144,32,1,813676
878,103,175,1,813892
879,103,175,1,813983
880,175,214,1,814000
881,103,175,1,814066
882,103,175,1,814181
883,103,175,1,814375
884,176,221,1,814741
885,103,98,1,815256
886,3,32,1,815847
887,222,120,1,815905
888,41,222,1,815931
889,41,222,1,816455
890,41,223,1,816948
891,214,175,1,817124
892,41,97,1,817288
893,41,134,1,817435
894,51,215,1,817504
895,36,222,1,817566
896,36,221,1,817628
897,212,66,1,817818
898,96,224,1,818098
899,175,214,1,818510
900,214,175,1,818560
901,225,223,1,818891
902,36,221,1,818924
903,36,214,1,818964
904,176,223,1,818987
905,176,226,1,819000
906,221,161,1,819018
907,36,221,1,819033
908,44,226,1,819278
909,221,161,1,819418
910,36,221,1,819539
911,221,161,1,819793
912,56,214,1,819973
913,221,161,1,819979
914,221,161,1,820160
915,221,161,1,820460
916,161,221,1,820778
917,36,221,1,820919
918,36,214,1,820987
919,221,161,1,821297
920,204,221,1,821689
921,227,26,1,821820
922,211,228,1,822533
923,214,101,1,823206
924,229,230,1,824015
925,220,214,1,824150
926,96,231,1,824399
927,96,232,1,824460
928,103,221,1,824534
929,103,20,1,824855
930,103,86,1,824917
931,220,214,1,825039
932,220,214,1,825287
933,103,66,1,825440
934,212,66,1,825857
935,124,109,1,826030
936,103,185,1,826346
937,212,6,1,826571
938,103,185,1,826701
939,103,8,1,826913
940,63,202,1,826987
941,63,185,1,827025
942,103,93,1,827360
943,63,185,1,827372
944,9,233,1,829351
945,103,233,1,829420
946,9,97,1,829666
947,9,190,1,829775
948,166,234,1,831255
949,69,34,1,831363
950,69,34,1,831397
951,235,191,1,831431
952,69,185,1,831662
953,41,166,1,832900
954,41,32,1,832963
955,3,32,1,833722
956,3,132,1,833842
957,1,30,1,834204
958,41,32,1,834693
959,41,173,1,834705
960,103,166,1,835478
961,63,127,1,836156
962,63,199,1,836475
963,103,166,1,836783
964,63,92,1,837112
965,97,228,1,837644
966,97,228,1,837644
967,103,58,1,839574
968,191,136,1,840247
969,32,58,1,840699
970,131,30,1,841542
971,191,236,1,841567
972,32,237,1,841748
973,9,235,1,841850
974,101,34,1,841895
975,237,32,1,841916
976,97,191,1,841932
977,48,81,1,842001
978,48,81,1,842006
979,175,214,1,842309
980,176,233,1,842545
981,9,101,1,842559
982,48,52,1,842848
983,48,52,1,842852
984,48,175,1,842874
985,52,48,1,842923
986,48,52,1,843010
987,9,177,1,843229
988,97,191,1,843271
989,9,175,1,843283
990,52,48,1,843283
991,175,48,1,843372
992,96,48,1,843518
993,41,32,1,843550
994,9,175,1,843609
995,41,174,1,843689
996,9,175,1,843986
997,48,175,1,844526
998,12,175,1,844538
999,48,52,1,844618
1000,175,48,1,844676
1001,48,175,1,844700
1002,12,175,1,844704
1003,12,168,1,844741
1004,12,175,1,844766
1005,52,48,1,844799
1006,175,48,1,844803
1007,48,52,1,844852
1008,12,81,1,844863
1009,12,175,1,844890
1010,48,175,1,844911
1011,175,48,1,845034
1012,12,175,1,845069
1013,48,175,1,845091
1014,12,175,1,845093
1015,52,48,1,845122
1016,48,52,1,845196
1017,12,175,1,845211
1018,175,48,1,845275
1019,52,48,1,845292
1020,12,175,1,845355
1021,48,52,1,845375
1022,12,175,1,845390
1023,48,175,1,845407
1024,12,175,1,845460
1025,175,48,1,845489
1026,52,48,1,845508
1027,12,175,1,845583
1028,12,175,1,845626
1029,12,175,1,845649
1030,220,214,1,845682
1031,12,175,1,845714
1032,88,220,1,845727
1033,48,175,1,845779
1034,48,52,1,845797
1035,12,175,1,845874
1036,175,48,1,845896
1037,52,48,1,845897
1038,9,175,1,845946
1039,48,175,1,845991
1040,12,175,1,846010
1041,12,175,1,846088
1042,175,48,1,846095
1043,12,175,1,846166
1044,9,175,1,846176
1045,48,175,1,846250
1046,12,175,1,846251
1047,48,52,1,846271
1048,9,175,1,846308
1049,175,48,1,846346
1050,9,209,1,846346
1051,12,175,1,846358
1052,48,175,1,846457
1053,103,66,1,846482
1054,103,52,1,846571
1055,12,175,1,846588
1056,103,66,1,846606
1057,175,48,1,846618
1058,52,48,1,846642
1059,103,66,1,846710
1060,12,175,1,846717
1061,12,175,1,846738
1062,48,52,1,846866
1063,48,175,1,846912
1064,175,48,1,846997
1065,48,175,1,847054
1066,48,175,1,847080
1067,9,175,1,847082
1068,9,209,1,847091
1069,175,48,1,847179
1070,175,48,1,847259
1071,220,48,1,847378
1072,9,175,1,847378
1073,48,175,1,847431
1074,144,185,1,847452
1075,175,48,1,847563
1076,220,48,1,847575
1077,48,175,1,847684
1078,144,222,1,847764
1079,220,48,1,847774
1080,175,48,1,847779
1081,220,48,1,847790
1082,220,48,1,847956
1083,48,175,1,847959
1084,220,48,1,847992
1085,175,48,1,848093
1086,48,175,1,848114
1087,220,48,1,848152
1088,175,48,1,848179
1089,144,195,1,848188
1090,48,175,1,848219
1091,191,237,1,848241
1092,220,48,1,848274
1093,175,48,1,848398
1094,220,48,1,848455
1095,48,175,1,848513
1096,220,95,1,848581
1097,95,168,1,848600
1098,220,48,1,848649
1099,176,198,1,848660
1100,220,95,1,848682
1101,191,175,1,848683
1102,220,95,1,848716
1103,176,201,1,848783
1104,175,48,1,848785
1105,175,191,1,848823
1106,191,175,1,848839
1107,48,175,1,848861
1108,175,191,1,848895
1109,175,48,1,848903
1110,191,175,1,848932
1111,144,88,1,848949
1112,175,191,1,848950
1113,220,48,1,848951
1114,191,175,1,848983
1115,175,191,1,849039
1116,144,238,1,849075
1117,191,175,1,849081
1118,175,191,1,849137
1119,220,95,1,849144
1120,239,175,1,849158
1121,144,240,1,849208
1122,239,175,1,849268
1123,239,236,1,849311
1124,220,95,1,849383
1125,220,48,1,849492
1126,220,95,1,849533
1127,12,90,1,849633
1128,220,95,1,849744
1129,144,23,1,849761
1130,220,95,1,849818
1131,3,132,1,849830
1132,220,95,1,850392
1133,220,95,1,850466
1134,220,95,1,850726
1135,103,52,1,850771
1136,144,32,1,850846
1137,220,48,1,850871
1138,144,48,1,851013
1139,36,222,1,851054
1140,220,95,1,851084
1141,88,144,1,851098
1142,220,95,1,851165
1143,220,95,1,851357
1144,220,95,1,851557
1145,144,48,1,851948
1146,220,48,1,852229
1147,144,48,1,852236
1148,220,95,1,852243
1149,220,95,1,852260
1150,220,48,1,852285
1151,9,144,1,852455
1152,144,241,1,853420
1153,103,144,1,853861
1154,9,216,1,855505
1155,194,242,1,857250
1156,194,199,1,857322
1157,194,209,1,857398
1158,194,182,1,857461
1159,32,144,1,875750
1160,32,243,1,876066
1161,204,241,1,879948
1162,63,127,1,880503
1163,227,144,1,881053
1164,194,209,1,883566
1165,168,95,1,884353
1166,63,127,1,884966
1167,44,214,1,885380
1168,41,32,1,887480
1169,9,244,1,888687
1170,245,191,1,888887
1171,228,97,1,889174
1172,211,228,1,891497
1173,211,246,1,891712
1174,19,52,1,891923
1175,233,88,1,892732
1176,34,242,1,893028
1177,19,233,1,893262
1178,127,63,1,894506
1179,143,32,1,894804
1180,143,95,1,894853
1181,9,235,1,895140
1182,9,177,1,895167
1183,63,127,1,895844
1184,32,88,1,895882
1185,211,233,1,896099
1186,88,32,1,896619
1187,32,88,1,896842
1188,247,248,1,896924
1189,248,247,1,897033
1190,176,248,1,897214
1191,176,248,1,897435
1192,211,232,1,898274
1193,88,32,1,898512
1194,176,248,1,898952
1195,176,63,1,899003
1196,32,88,1,899043
1197,249,63,1,899098
1198,41,250,1,899905
1199,41,248,1,899908
1200,95,168,1,899917
1201,41,251,1,899922
1202,34,242,1,900219
1203,176,72,1,900663
1204,44,88,1,901864
1205,103,177,1,902566
1206,103,86,1,902689
1207,12,168,1,903450
1208,51,86,1,903606
1209,212,252,1,903930
1210,176,63,1,904022
1211,41,97,1,904142
1212,168,95,1,904267
1213,249,63,1,904296
1214,212,34,1,904326
1215,212,252,1,904345
1216,176,63,1,904351
1217,212,252,1,904534
1218,176,63,1,904635
1219,212,34,1,904687
1220,249,63,1,904837
1221,212,34,1,905097
1222,103,63,1,905203
1223,144,247,1,905244
1224,204,51,1,905265
1225,103,63,1,905306
1226,101,208,1,905340
1227,212,34,1,905579
1228,212,252,1,905672
1229,53,253,1,907774
1230,9,251,1,907817
1231,164,8,1,909469
1232,8,164,1,909561
1233,212,34,1,909949
1234,44,88,1,910143
1235,44,48,1,910306
1236,44,88,1,910339
1237,44,48,1,910477
1238,254,8,1,910519
1239,8,254,1,910590
1240,44,88,1,910743
1241,254,8,1,910794
1242,95,168,1,910932
1243,254,8,1,911117
1244,8,254,1,911264
1245,254,8,1,911384
1246,8,254,1,911438
1247,254,8,1,911578
